Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пьедесталы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 199;0,00056;
август 2023;1 144;0,00053;
сентябрь 2023;1 444;0,00060;
октябрь 2023;1 710;0,00063;
ноябрь 2023;1 781;0,00067;
декабрь 2023;1 629;0,00060;
январь 2024;1 526;0,00058;
февраль 2024;1 650;0,00067;
март 2024;1 759;0,00068;
апрель 2024;1 677;0,00070;
май 2024;1 713;0,00073;
июнь 2024;1 156;0,00059;
июль 2024;1 127;0,00057;
август 2024;1 076;0,00054;
сентябрь 2024;1 365;0,00063;
октябрь 2024;1 745;0,00070;
ноябрь 2024;1 789;0,00069;
декабрь 2024;2 035;0,00075;
январь 2025;1 713;0,00063;
февраль 2025;1 862;0,00071;
март 2025;1 754;0,00065;
апрель 2025;1 857;0,00071;
май 2025;1 750;0,00073;
июнь 2025;1 323;0,00056;
