Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Акриловые ванны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 184;0,0019;
август 2023;4 716;0,0022;
сентябрь 2023;4 717;0,0019;
октябрь 2023;5 828;0,0021;
ноябрь 2023;5 801;0,0022;
декабрь 2023;4 694;0,0017;
январь 2024;4 973;0,0019;
февраль 2024;4 608;0,0018;
март 2024;4 830;0,0018;
апрель 2024;4 335;0,0018;
май 2024;3 848;0,0016;
июнь 2024;3 551;0,0018;
июль 2024;4 125;0,0021;
август 2024;4 105;0,0020;
сентябрь 2024;3 404;0,0015;
октябрь 2024;4 249;0,0017;
ноябрь 2024;4 583;0,0017;
декабрь 2024;4 312;0,0016;
январь 2025;4 765;0,0017;
февраль 2025;4 273;0,0016;
март 2025;4 225;0,0015;
апрель 2025;3 544;0,0013;
май 2025;3 539;0,0014;
июнь 2025;3 758;0,0016;
