Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стальные ванны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 082;0,00051;
август 2023;969;0,00045;
сентябрь 2023;948;0,00039;
октябрь 2023;1 085;0,00040;
ноябрь 2023;1 044;0,00039;
декабрь 2023;893;0,00033;
январь 2024;942;0,00036;
февраль 2024;826;0,00033;
март 2024;970;0,00038;
апрель 2024;894;0,00037;
май 2024;957;0,00040;
июнь 2024;911;0,00046;
июль 2024;794;0,00040;
август 2024;830;0,00042;
сентябрь 2024;755;0,00035;
октябрь 2024;842;0,00033;
ноябрь 2024;888;0,00034;
декабрь 2024;774;0,00028;
январь 2025;813;0,00030;
февраль 2025;896;0,00034;
март 2025;1 038;0,00038;
апрель 2025;970;0,00037;
май 2025;713;0,00029;
июнь 2025;771;0,00033;
