Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шторки стеклянные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;184;0,000087;
август 2023;272;0,000127;
сентябрь 2023;258;0,000107;
октябрь 2023;288;0,000107;
ноябрь 2023;284;0,000108;
декабрь 2023;208;0,000077;
январь 2024;234;0,000089;
февраль 2024;244;0,000099;
март 2024;221;0,000086;
апрель 2024;303;0,000127;
май 2024;230;0,000098;
июнь 2024;157;0,000080;
июль 2024;208;0,000106;
август 2024;246;0,000125;
сентябрь 2024;213;0,000098;
октябрь 2024;221;0,000089;
ноябрь 2024;306;0,000118;
декабрь 2024;179;0,000066;
январь 2025;246;0,000091;
февраль 2025;197;0,000076;
март 2025;203;0,000075;
апрель 2025;176;0,000067;
май 2025;131;0,000054;
июнь 2025;180;0,000077;
