Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Биде», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 211;0,00104;
август 2023;2 256;0,00106;
сентябрь 2023;2 252;0,00094;
октябрь 2023;2 794;0,00104;
ноябрь 2023;2 456;0,00093;
декабрь 2023;2 741;0,00102;
январь 2024;2 513;0,00096;
февраль 2024;2 050;0,00083;
март 2024;2 187;0,00085;
апрель 2024;2 058;0,00086;
май 2024;2 127;0,00090;
июнь 2024;1 880;0,00096;
июль 2024;1 938;0,00099;
август 2024;1 942;0,00099;
сентябрь 2024;1 771;0,00082;
октябрь 2024;2 174;0,00087;
ноябрь 2024;2 163;0,00083;
декабрь 2024;2 434;0,00090;
январь 2025;2 585;0,00096;
февраль 2025;2 270;0,00087;
март 2025;2 311;0,00086;
апрель 2025;2 099;0,00081;
май 2025;2 123;0,00088;
июнь 2025;1 938;0,00083;
