Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые кабины», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;14 006;0,0066;
август 2023;13 879;0,0065;
сентябрь 2023;12 577;0,0052;
октябрь 2023;15 534;0,0058;
ноябрь 2023;13 650;0,0051;
декабрь 2023;11 481;0,0042;
январь 2024;12 842;0,0049;
февраль 2024;11 328;0,0046;
март 2024;11 818;0,0046;
апрель 2024;10 819;0,0045;
май 2024;12 376;0,0052;
июнь 2024;12 393;0,0063;
июль 2024;13 069;0,0067;
август 2024;12 311;0,0062;
сентябрь 2024;10 849;0,0050;
октябрь 2024;12 127;0,0048;
ноябрь 2024;13 575;0,0052;
декабрь 2024;11 194;0,0041;
январь 2025;12 511;0,0046;
февраль 2025;11 352;0,0043;
март 2025;12 402;0,0046;
апрель 2025;11 766;0,0045;
май 2025;12 383;0,0051;
июнь 2025;14 061;0,0060;
