Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стаканы для зубных щеток», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;90;0,000042;
август 2023;182;0,000085;
сентябрь 2023;79;0,000032;
октябрь 2023;97;0,000036;
ноябрь 2023;74;0,000028;
декабрь 2023;110;0,000041;
январь 2024;108;0,000041;
февраль 2024;110;0,000044;
март 2024;92;0,000036;
апрель 2024;121;0,000050;
май 2024;63;0,000026;
июнь 2024;66;0,000033;
июль 2024;63;0,000032;
август 2024;47;0,000024;
сентябрь 2024;71;0,000032;
октябрь 2024;56;0,000022;
ноябрь 2024;118;0,000045;
декабрь 2024;92;0,000034;
январь 2025;78;0,000028;
февраль 2025;61;0,000023;
март 2025;85;0,000031;
апрель 2025;67;0,000025;
май 2025;71;0,000029;
июнь 2025;71;0,000030;
