Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Щетки и ершики», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;10;0,00000474;
август 2023;4;0,00000188;
сентябрь 2023;3;0,00000125;
октябрь 2023;8;0,00000299;
ноябрь 2023;5;0,00000190;
декабрь 2023;7;0,00000261;
январь 2024;8;0,00000305;
февраль 2024;0;0;
март 2024;2;0,00000078;
апрель 2024;7;0,00000294;
май 2024;12;0,00000512;
июнь 2024;7;0,00000358;
июль 2024;8;0,00000410;
август 2024;8;0,00000408;
сентябрь 2024;7;0,00000325;
октябрь 2024;7;0,00000281;
ноябрь 2024;5;0,00000193;
декабрь 2024;14;0,00000522;
январь 2025;4;0,00000148;
февраль 2025;9;0,00000347;
март 2025;7;0,00000260;
апрель 2025;7;0,00000270;
май 2025;3;0,00000125;
июнь 2025;4;0,00000171;
