Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крючки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;51 983;0,024;
август 2023;48 019;0,022;
сентябрь 2023;53 956;0,022;
октябрь 2023;67 601;0,025;
ноябрь 2023;78 188;0,029;
декабрь 2023;71 432;0,026;
январь 2024;71 282;0,027;
февраль 2024;65 626;0,026;
март 2024;65 787;0,025;
апрель 2024;54 567;0,022;
май 2024;54 618;0,023;
июнь 2024;44 910;0,023;
июль 2024;46 215;0,023;
август 2024;47 016;0,024;
сентябрь 2024;47 240;0,021;
октябрь 2024;62 734;0,025;
ноябрь 2024;72 326;0,028;
декабрь 2024;73 982;0,027;
январь 2025;79 189;0,029;
февраль 2025;75 600;0,029;
март 2025;71 661;0,026;
апрель 2025;60 865;0,023;
май 2025;59 583;0,024;
июнь 2025;60 939;0,026;
