Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полки для ванной», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;729;0,00034;
август 2023;799;0,00037;
сентябрь 2023;809;0,00033;
октябрь 2023;899;0,00033;
ноябрь 2023;882;0,00033;
декабрь 2023;702;0,00026;
январь 2024;844;0,00032;
февраль 2024;726;0,00029;
март 2024;806;0,00031;
апрель 2024;686;0,00028;
май 2024;610;0,00026;
июнь 2024;536;0,00027;
июль 2024;708;0,00036;
август 2024;569;0,00029;
сентябрь 2024;500;0,00023;
октябрь 2024;678;0,00027;
ноябрь 2024;693;0,00026;
декабрь 2024;547;0,00020;
январь 2025;692;0,00025;
февраль 2025;614;0,00023;
март 2025;633;0,00023;
апрель 2025;562;0,00021;
май 2025;475;0,00019;
июнь 2025;547;0,00023;
