Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатели для фена», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;43;0,0000203;
август 2023;41;0,0000192;
сентябрь 2023;57;0,0000237;
октябрь 2023;49;0,0000183;
ноябрь 2023;55;0,0000209;
декабрь 2023;74;0,0000276;
январь 2024;52;0,0000198;
февраль 2024;51;0,0000208;
март 2024;65;0,0000254;
апрель 2024;28;0,0000117;
май 2024;23;0,0000098;
июнь 2024;32;0,0000163;
июль 2024;16;0,0000082;
август 2024;29;0,0000148;
сентябрь 2024;37;0,0000171;
октябрь 2024;55;0,0000221;
ноябрь 2024;46;0,0000178;
декабрь 2024;41;0,0000153;
январь 2025;52;0,0000193;
февраль 2025;33;0,0000127;
март 2025;53;0,0000197;
апрель 2025;23;0,0000088;
май 2025;37;0,0000155;
июнь 2025;28;0,0000120;
