Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фены настенные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;121;0,000057;
август 2023;93;0,000043;
сентябрь 2023;120;0,000050;
октябрь 2023;160;0,000059;
ноябрь 2023;186;0,000070;
декабрь 2023;163;0,000060;
январь 2024;101;0,000038;
февраль 2024;132;0,000053;
март 2024;101;0,000039;
апрель 2024;113;0,000047;
май 2024;98;0,000041;
июнь 2024;81;0,000041;
июль 2024;102;0,000052;
август 2024;116;0,000059;
сентябрь 2024;115;0,000053;
октябрь 2024;113;0,000045;
ноябрь 2024;115;0,000044;
декабрь 2024;96;0,000035;
январь 2025;134;0,000049;
февраль 2025;140;0,000054;
март 2025;167;0,000062;
апрель 2025;156;0,000060;
май 2025;108;0,000045;
июнь 2025;103;0,000044;
