Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Диспенсеры для жидкого мыла», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;166;0,000078;
август 2023;284;0,000133;
сентябрь 2023;291;0,000121;
октябрь 2023;320;0,000119;
ноябрь 2023;404;0,000153;
декабрь 2023;266;0,000099;
январь 2024;303;0,000115;
февраль 2024;288;0,000117;
март 2024;301;0,000117;
апрель 2024;230;0,000096;
май 2024;226;0,000096;
июнь 2024;201;0,000102;
июль 2024;212;0,000108;
август 2024;179;0,000091;
сентябрь 2024;244;0,000113;
октябрь 2024;317;0,000127;
ноябрь 2024;303;0,000117;
декабрь 2024;269;0,000100;
январь 2025;269;0,000099;
февраль 2025;296;0,000114;
март 2025;246;0,000091;
апрель 2025;225;0,000086;
май 2025;231;0,000096;
июнь 2025;264;0,000113;
