Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит технический», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;33;0,0000156;
август 2023;35;0,0000164;
сентябрь 2023;24;0,0000100;
октябрь 2023;38;0,0000142;
ноябрь 2023;9;0,0000034;
декабрь 2023;22;0,0000082;
январь 2024;22;0,0000084;
февраль 2024;35;0,0000142;
март 2024;22;0,0000086;
апрель 2024;24;0,0000101;
май 2024;26;0,0000111;
июнь 2024;37;0,0000189;
июль 2024;33;0,0000169;
август 2024;38;0,0000194;
сентябрь 2024;19;0,0000088;
октябрь 2024;28;0,0000112;
ноябрь 2024;21;0,0000081;
декабрь 2024;39;0,0000145;
январь 2025;17;0,0000063;
февраль 2025;45;0,0000173;
март 2025;15;0,0000055;
апрель 2025;30;0,0000115;
май 2025;33;0,0000138;
июнь 2025;44;0,0000188;
