Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бордюры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;7 494;0,0035;
август 2023;7 333;0,0034;
сентябрь 2023;6 758;0,0028;
октябрь 2023;5 412;0,0020;
ноябрь 2023;4 030;0,0015;
декабрь 2023;3 098;0,0011;
январь 2024;3 212;0,0012;
февраль 2024;3 191;0,0013;
март 2024;3 899;0,0015;
апрель 2024;8 272;0,0034;
май 2024;10 133;0,0043;
июнь 2024;7 515;0,0038;
июль 2024;7 362;0,0037;
август 2024;7 105;0,0036;
сентябрь 2024;6 818;0,0031;
октябрь 2024;5 548;0,0022;
ноябрь 2024;4 182;0,0016;
декабрь 2024;3 513;0,0013;
январь 2025;3 313;0,0012;
февраль 2025;3 645;0,0014;
март 2025;5 907;0,0022;
апрель 2025;10 086;0,0038;
май 2025;10 920;0,0045;
июнь 2025;9 716;0,0041;
