Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Добавки к затирке», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1;0,00000047;
август 2023;5;0,00000235;
сентябрь 2023;2;0,00000083;
октябрь 2023;2;0,00000074;
ноябрь 2023;0;0;
декабрь 2023;12;0,00000447;
январь 2024;1;0,00000038;
февраль 2024;0;0;
март 2024;2;0,00000078;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;1;0,00000051;
август 2024;2;0,00000102;
сентябрь 2024;0;0;
октябрь 2024;4;0,00000161;
ноябрь 2024;3;0,00000116;
декабрь 2024;0;0;
январь 2025;2;0,00000074;
февраль 2025;5;0,00000193;
март 2025;0;0;
апрель 2025;0;0;
май 2025;3;0,00000125;
июнь 2025;4;0,00000171;
