Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стеклорезы для плитки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2;0,00000094;
август 2023;3;0,00000141;
сентябрь 2023;2;0,00000083;
октябрь 2023;6;0,00000224;
ноябрь 2023;0;0;
декабрь 2023;5;0,00000186;
январь 2024;8;0,00000305;
февраль 2024;6;0,00000245;
март 2024;1;0,00000039;
апрель 2024;2;0,00000084;
май 2024;4;0,00000170;
июнь 2024;1;0,00000051;
июль 2024;12;0,00000615;
август 2024;1;0,00000051;
сентябрь 2024;0;0;
октябрь 2024;4;0,00000161;
ноябрь 2024;2;0,00000077;
декабрь 2024;2;0,00000074;
январь 2025;6;0,00000222;
февраль 2025;7;0,00000270;
март 2025;1;0,00000037;
апрель 2025;1;0,00000038;
май 2025;7;0,00000293;
июнь 2025;2;0,00000085;
