Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Замок магнитный», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;634;0,00030;
август 2023;776;0,00036;
сентябрь 2023;762;0,00031;
октябрь 2023;909;0,00033;
ноябрь 2023;847;0,00032;
декабрь 2023;758;0,00028;
январь 2024;893;0,00034;
февраль 2024;786;0,00032;
март 2024;746;0,00029;
апрель 2024;768;0,00032;
май 2024;763;0,00032;
июнь 2024;685;0,00035;
июль 2024;772;0,00039;
август 2024;888;0,00045;
сентябрь 2024;850;0,00039;
октябрь 2024;928;0,00037;
ноябрь 2024;1 003;0,00038;
декабрь 2024;1 012;0,00037;
январь 2025;951;0,00035;
февраль 2025;1 081;0,00041;
март 2025;1 012;0,00037;
апрель 2025;918;0,00035;
май 2025;890;0,00037;
июнь 2025;834;0,00035;
