Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доборные, притворные планки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;718;0,00034;
август 2023;737;0,00034;
сентябрь 2023;680;0,00028;
октябрь 2023;676;0,00025;
ноябрь 2023;628;0,00023;
декабрь 2023;291;0,00010;
январь 2024;331;0,00012;
февраль 2024;400;0,00016;
март 2024;528;0,00020;
апрель 2024;602;0,00025;
май 2024;826;0,00035;
июнь 2024;620;0,00031;
июль 2024;794;0,00040;
август 2024;773;0,00039;
сентябрь 2024;824;0,00038;
октябрь 2024;755;0,00030;
ноябрь 2024;664;0,00025;
декабрь 2024;477;0,00017;
январь 2025;512;0,00019;
февраль 2025;624;0,00024;
март 2025;657;0,00024;
апрель 2025;791;0,00030;
май 2025;712;0,00029;
июнь 2025;687;0,00029;
