Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доводчики», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;5 972;0,0028;
август 2023;5 748;0,0027;
сентябрь 2023;5 726;0,0023;
октябрь 2023;7 197;0,0026;
ноябрь 2023;6 724;0,0025;
декабрь 2023;6 523;0,0024;
январь 2024;6 038;0,0023;
февраль 2024;5 538;0,0022;
март 2024;6 412;0,0025;
апрель 2024;6 561;0,0027;
май 2024;6 340;0,0027;
июнь 2024;5 189;0,0026;
июль 2024;5 937;0,0030;
август 2024;5 492;0,0028;
сентябрь 2024;5 847;0,0027;
октябрь 2024;6 849;0,0027;
ноябрь 2024;7 512;0,0029;
декабрь 2024;6 610;0,0024;
январь 2025;6 515;0,0024;
февраль 2025;6 678;0,0025;
март 2025;6 834;0,0025;
апрель 2025;6 840;0,0026;
май 2025;6 202;0,0025;
июнь 2025;5 934;0,0025;
