Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Замки дверные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 851;0,0013;
август 2023;2 901;0,0013;
сентябрь 2023;2 754;0,0011;
октябрь 2023;3 009;0,0011;
ноябрь 2023;3 719;0,0014;
декабрь 2023;3 096;0,0011;
январь 2024;3 578;0,0013;
февраль 2024;3 022;0,0012;
март 2024;3 182;0,0012;
апрель 2024;2 898;0,0012;
май 2024;3 083;0,0013;
июнь 2024;2 764;0,0014;
июль 2024;2 996;0,0015;
август 2024;3 183;0,0016;
сентябрь 2024;2 746;0,0012;
октябрь 2024;3 210;0,0012;
ноябрь 2024;3 296;0,0012;
декабрь 2024;3 124;0,0011;
январь 2025;3 800;0,0014;
февраль 2025;3 322;0,0012;
март 2025;3 156;0,0011;
апрель 2025;2 969;0,0011;
май 2025;3 001;0,0012;
июнь 2025;3 258;0,0013;
