Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Петли дверные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 073;0,00050;
август 2023;1 127;0,00052;
сентябрь 2023;1 045;0,00043;
октябрь 2023;1 212;0,00045;
ноябрь 2023;1 123;0,00042;
декабрь 2023;1 084;0,00040;
январь 2024;1 181;0,00045;
февраль 2024;1 086;0,00044;
март 2024;1 062;0,00041;
апрель 2024;1 132;0,00047;
май 2024;1 134;0,00048;
июнь 2024;1 091;0,00055;
июль 2024;1 178;0,00060;
август 2024;1 193;0,00060;
сентябрь 2024;1 216;0,00056;
октябрь 2024;1 240;0,00049;
ноябрь 2024;1 207;0,00046;
декабрь 2024;1 139;0,00042;
январь 2025;1 205;0,00044;
февраль 2025;1 355;0,00052;
март 2025;1 313;0,00048;
апрель 2025;1 169;0,00045;
май 2025;1 216;0,00050;
июнь 2025;1 170;0,00050;
