Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Защелки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 513;0,0021;
август 2023;4 472;0,0021;
сентябрь 2023;4 405;0,0018;
октябрь 2023;5 334;0,0019;
ноябрь 2023;5 281;0,0020;
декабрь 2023;4 890;0,0018;
январь 2024;4 937;0,0018;
февраль 2024;4 813;0,0019;
март 2024;5 110;0,0020;
апрель 2024;4 943;0,0020;
май 2024;5 235;0,0022;
июнь 2024;4 371;0,0022;
июль 2024;4 761;0,0024;
август 2024;4 873;0,0024;
сентябрь 2024;4 682;0,0021;
октябрь 2024;5 334;0,0021;
ноябрь 2024;5 749;0,0022;
декабрь 2024;5 120;0,0019;
январь 2025;5 742;0,0021;
февраль 2025;5 634;0,0021;
март 2025;5 893;0,0021;
апрель 2025;5 761;0,0022;
май 2025;5 140;0,0021;
июнь 2025;5 077;0,0021;
