Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фиксаторы сантехнические», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4;0,0000018;
август 2023;8;0,0000037;
сентябрь 2023;17;0,0000070;
октябрь 2023;23;0,0000085;
ноябрь 2023;16;0,0000060;
декабрь 2023;22;0,0000082;
январь 2024;16;0,0000061;
февраль 2024;22;0,0000089;
март 2024;27;0,0000105;
апрель 2024;5;0,0000021;
май 2024;12;0,0000051;
июнь 2024;3;0,0000015;
июль 2024;23;0,0000117;
август 2024;20;0,0000102;
сентябрь 2024;10;0,0000046;
октябрь 2024;16;0,0000064;
ноябрь 2024;12;0,0000046;
декабрь 2024;14;0,0000052;
январь 2025;24;0,0000089;
февраль 2025;13;0,0000050;
март 2025;28;0,0000104;
апрель 2025;32;0,0000123;
май 2025;7;0,0000029;
июнь 2025;7;0,0000030;
