Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Направляющие для выдвижных ящиков», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;611;0,00028;
август 2023;644;0,00030;
сентябрь 2023;623;0,00026;
октябрь 2023;844;0,00031;
ноябрь 2023;783;0,00029;
декабрь 2023;718;0,00026;
январь 2024;763;0,00029;
февраль 2024;745;0,00030;
март 2024;762;0,00029;
апрель 2024;652;0,00027;
май 2024;612;0,00026;
июнь 2024;486;0,00024;
июль 2024;607;0,00031;
август 2024;612;0,00031;
сентябрь 2024;629;0,00029;
октябрь 2024;706;0,00028;
ноябрь 2024;802;0,00031;
декабрь 2024;1 008;0,00037;
январь 2025;999;0,00037;
февраль 2025;901;0,00034;
март 2025;992;0,00036;
апрель 2025;749;0,00028;
май 2025;637;0,00026;
июнь 2025;762;0,00032;
