Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Окна деревянные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 966;0,00140;
август 2023;2 895;0,00136;
сентябрь 2023;2 835;0,00118;
октябрь 2023;2 897;0,00108;
ноябрь 2023;2 192;0,00083;
декабрь 2023;2 028;0,00075;
январь 2024;1 643;0,00062;
февраль 2024;1 519;0,00062;
март 2024;1 831;0,00071;
апрель 2024;2 455;0,00103;
май 2024;2 544;0,00108;
июнь 2024;2 396;0,00122;
июль 2024;2 612;0,00133;
август 2024;2 598;0,00132;
сентябрь 2024;2 820;0,00130;
октябрь 2024;2 766;0,00111;
ноябрь 2024;2 267;0,00087;
декабрь 2024;1 632;0,00060;
январь 2025;1 672;0,00062;
февраль 2025;1 800;0,00069;
март 2025;1 962;0,00073;
апрель 2025;2 647;0,00102;
май 2025;2 479;0,00103;
июнь 2025;2 488;0,00106;
