Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подоконники», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;12 627;0,0059;
август 2023;12 621;0,0059;
сентябрь 2023;13 612;0,0056;
октябрь 2023;17 206;0,0064;
ноябрь 2023;16 899;0,0064;
декабрь 2023;14 972;0,0055;
январь 2024;13 678;0,0052;
февраль 2024;16 292;0,0066;
март 2024;21 977;0,0086;
апрель 2024;19 947;0,0083;
май 2024;17 089;0,0072;
июнь 2024;11 884;0,0060;
июль 2024;11 450;0,0058;
август 2024;10 881;0,0055;
сентябрь 2024;12 236;0,0056;
октябрь 2024;16 016;0,0064;
ноябрь 2024;15 933;0,0061;
декабрь 2024;14 140;0,0052;
январь 2025;14 852;0,0055;
февраль 2025;16 893;0,0065;
март 2025;22 246;0,0082;
апрель 2025;18 844;0,0072;
май 2025;15 040;0,0063;
июнь 2025;13 085;0,0056;
