Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Проектные кухни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13;0,0000061;
август 2023;0;0;
сентябрь 2023;19;0,0000079;
октябрь 2023;53;0,0000198;
ноябрь 2023;23;0,0000087;
декабрь 2023;17;0,0000063;
январь 2024;42;0,0000160;
февраль 2024;35;0,0000142;
март 2024;64;0,0000250;
апрель 2024;50;0,0000210;
май 2024;20;0,0000085;
июнь 2024;4;0,0000020;
июль 2024;4;0,0000020;
август 2024;2;0,0000010;
сентябрь 2024;25;0,0000116;
октябрь 2024;44;0,0000177;
ноябрь 2024;39;0,0000151;
декабрь 2024;22;0,0000082;
январь 2025;34;0,0000126;
февраль 2025;49;0,0000189;
март 2025;51;0,0000190;
апрель 2025;57;0,0000220;
май 2025;54;0,0000226;
июнь 2025;4;0,0000017;
