Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Готовые кухни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;751;0,00035;
август 2023;833;0,00039;
сентябрь 2023;892;0,00037;
октябрь 2023;979;0,00036;
ноябрь 2023;889;0,00033;
декабрь 2023;814;0,00030;
январь 2024;782;0,00029;
февраль 2024;737;0,00030;
март 2024;690;0,00027;
апрель 2024;658;0,00027;
май 2024;718;0,00030;
июнь 2024;540;0,00027;
июль 2024;624;0,00031;
август 2024;696;0,00035;
сентябрь 2024;454;0,00021;
октябрь 2024;689;0,00027;
ноябрь 2024;737;0,00028;
декабрь 2024;638;0,00023;
январь 2025;961;0,00035;
февраль 2025;870;0,00033;
март 2025;670;0,00024;
апрель 2025;555;0,00021;
май 2025;404;0,00016;
июнь 2025;485;0,00020;
