Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для кухни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;34;0,0000161;
август 2023;36;0,0000169;
сентябрь 2023;40;0,0000166;
октябрь 2023;56;0,0000209;
ноябрь 2023;38;0,0000144;
декабрь 2023;33;0,0000123;
январь 2024;33;0,0000126;
февраль 2024;34;0,0000138;
март 2024;28;0,0000109;
апрель 2024;20;0,0000084;
май 2024;39;0,0000166;
июнь 2024;19;0,0000097;
июль 2024;29;0,0000148;
август 2024;25;0,0000127;
сентябрь 2024;30;0,0000139;
октябрь 2024;47;0,0000189;
ноябрь 2024;39;0,0000151;
декабрь 2024;27;0,0000100;
январь 2025;26;0,0000096;
февраль 2025;35;0,0000135;
март 2025;23;0,0000085;
апрель 2025;24;0,0000092;
май 2025;23;0,0000096;
июнь 2025;13;0,0000055;
