Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Демпферы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 222;0,00105;
август 2023;2 168;0,00101;
сентябрь 2023;2 204;0,00092;
октябрь 2023;2 363;0,00088;
ноябрь 2023;2 327;0,00088;
декабрь 2023;1 812;0,00067;
январь 2024;1 768;0,00067;
февраль 2024;2 070;0,00084;
март 2024;2 296;0,00089;
апрель 2024;2 441;0,00102;
май 2024;2 526;0,00107;
июнь 2024;2 237;0,00114;
июль 2024;2 231;0,00114;
август 2024;2 310;0,00118;
сентябрь 2024;2 162;0,00100;
октябрь 2024;2 281;0,00091;
ноябрь 2024;2 240;0,00086;
декабрь 2024;2 097;0,00078;
январь 2025;2 379;0,00088;
февраль 2025;2 258;0,00087;
март 2025;2 524;0,00094;
апрель 2025;2 669;0,00103;
май 2025;2 597;0,00108;
июнь 2025;2 785;0,00119;
