Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Системы открывания», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;88;0,000041;
август 2023;87;0,000040;
сентябрь 2023;104;0,000043;
октябрь 2023;112;0,000041;
ноябрь 2023;112;0,000042;
декабрь 2023;108;0,000040;
январь 2024;115;0,000043;
февраль 2024;114;0,000046;
март 2024;125;0,000048;
апрель 2024;113;0,000047;
май 2024;122;0,000052;
июнь 2024;89;0,000045;
июль 2024;116;0,000059;
август 2024;116;0,000059;
сентябрь 2024;90;0,000041;
октябрь 2024;130;0,000052;
ноябрь 2024;134;0,000051;
декабрь 2024;119;0,000044;
январь 2025;113;0,000041;
февраль 2025;125;0,000048;
март 2025;174;0,000064;
апрель 2025;147;0,000056;
май 2025;110;0,000046;
июнь 2025;84;0,000036;
