Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столешницы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;24 659;0,0116;
август 2023;26 288;0,0123;
сентябрь 2023;25 964;0,0108;
октябрь 2023;29 183;0,0109;
ноябрь 2023;29 993;0,0114;
декабрь 2023;25 430;0,0094;
январь 2024;25 925;0,0099;
февраль 2024;26 588;0,0108;
март 2024;28 071;0,0110;
апрель 2024;24 350;0,0102;
май 2024;23 573;0,0100;
июнь 2024;19 693;0,0100;
июль 2024;23 423;0,0120;
август 2024;25 054;0,0128;
сентябрь 2024;22 497;0,0104;
октябрь 2024;26 566;0,0107;
ноябрь 2024;28 454;0,0110;
декабрь 2024;26 248;0,0097;
январь 2025;29 874;0,0110;
февраль 2025;27 612;0,0106;
март 2025;27 838;0,0103;
апрель 2025;24 081;0,0092;
май 2025;21 390;0,0089;
июнь 2025;22 730;0,0097;
