Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кромка для столешниц», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;113;0,000053;
август 2023;99;0,000046;
сентябрь 2023;143;0,000059;
октябрь 2023;102;0,000038;
ноябрь 2023;129;0,000049;
декабрь 2023;130;0,000048;
январь 2024;92;0,000035;
февраль 2024;98;0,000040;
март 2024;117;0,000045;
апрель 2024;130;0,000054;
май 2024;111;0,000047;
июнь 2024;79;0,000040;
июль 2024;81;0,000041;
август 2024;106;0,000054;
сентябрь 2024;84;0,000039;
октябрь 2024;128;0,000051;
ноябрь 2024;117;0,000045;
декабрь 2024;123;0,000045;
январь 2025;95;0,000035;
февраль 2025;124;0,000047;
март 2025;111;0,000041;
апрель 2025;70;0,000027;
май 2025;108;0,000045;
июнь 2025;116;0,000049;
