Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ножи консервные, открывалки, пробки для бутылок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;165;0,000078;
август 2023;143;0,000067;
сентябрь 2023;168;0,000070;
октябрь 2023;161;0,000060;
ноябрь 2023;178;0,000067;
декабрь 2023;170;0,000063;
январь 2024;233;0,000089;
февраль 2024;170;0,000069;
март 2024;195;0,000076;
апрель 2024;138;0,000058;
май 2024;205;0,000087;
июнь 2024;122;0,000062;
июль 2024;147;0,000075;
август 2024;118;0,000060;
сентябрь 2024;114;0,000052;
октябрь 2024;126;0,000050;
ноябрь 2024;163;0,000063;
декабрь 2024;209;0,000077;
январь 2025;160;0,000059;
февраль 2025;217;0,000083;
март 2025;157;0,000058;
апрель 2025;136;0,000052;
май 2025;136;0,000056;
июнь 2025;144;0,000061;
