Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Эмали для радиаторов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;149;0,000070;
август 2023;158;0,000074;
сентябрь 2023;117;0,000048;
октябрь 2023;88;0,000032;
ноябрь 2023;66;0,000025;
декабрь 2023;67;0,000025;
январь 2024;85;0,000032;
февраль 2024;71;0,000028;
март 2024;93;0,000036;
апрель 2024;75;0,000031;
май 2024;106;0,000045;
июнь 2024;102;0,000052;
июль 2024;140;0,000071;
август 2024;173;0,000088;
сентябрь 2024;110;0,000051;
октябрь 2024;117;0,000047;
ноябрь 2024;85;0,000032;
декабрь 2024;89;0,000033;
январь 2025;40;0,000014;
февраль 2025;65;0,000025;
март 2025;87;0,000032;
апрель 2025;67;0,000025;
май 2025;70;0,000029;
июнь 2025;93;0,000039;
