Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Клеи секундные, контактные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;194;0,000091;
август 2023;198;0,000093;
сентябрь 2023;144;0,000060;
октябрь 2023;141;0,000052;
ноябрь 2023;195;0,000074;
декабрь 2023;213;0,000079;
январь 2024;203;0,000077;
февраль 2024;194;0,000079;
март 2024;196;0,000076;
апрель 2024;169;0,000071;
май 2024;223;0,000095;
июнь 2024;170;0,000087;
июль 2024;172;0,000088;
август 2024;172;0,000087;
сентябрь 2024;154;0,000071;
октябрь 2024;168;0,000067;
ноябрь 2024;184;0,000071;
декабрь 2024;201;0,000075;
январь 2025;178;0,000066;
февраль 2025;207;0,000080;
март 2025;208;0,000077;
апрель 2025;156;0,000060;
май 2025;204;0,000085;
июнь 2025;185;0,000079;
